Unnamed: 0,Unnamed: 1,Unnamed: 2,Passing,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Rushing,Unnamed: 10,Unnamed: 11,Unnamed: 12,Receiving,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fumbles,Unnamed: 18
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jonathan Ward,12,3,0,0,0,0,0,0,9,33,0,0,3,34,0,0,0,0
Kevin White,6,3,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0
Seth Williams,11,3,0,0,0,0,0,0,0,0,0,0,1,34,0,0,0,0
Kenny Yeboah,6,3,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
Nick Bawden,6,2,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Kendall Blanton,11,2,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
Daniel Brown,6,2,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
Pharoh Cooper,10,2,0,0,0,0,0,0,1,3,0,0,4,33,0,0,0,0
Dominique Dafney,13,2,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
Tyler Davis,13,2,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
Cody Hollister,13,2,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
Tommy Hudson,13,2,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Trenton Irwin,10,2,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
Jake Kumerow,7,2,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Raheem Mostert,6,2,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0
Dazz Newsome,10,2,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Gunner Olszewski,14,2,0,0,0,0,0,0,1,9,0,0,2,31,0,0,0,0
Colby Parkinson,9,2,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
Lamical Perine,6,2,0,0,0,0,0,0,8,31,0,0,0,0,0,0,0,0
Kaden Smith,10,2,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
Willie Snead,13,2,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
Mike Strachan,14,2,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
Trevon Wesco,6,2,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Cody White,7,2,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
Shane Zylstra,9,2,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Cam Akers,11,1,0,0,0,0,0,0,5,3,0,0,3,10,0,0,0,0
C.J. Beathard,7,1,2,2,33,0,0,0,1,2,0,0,0,0,0,0,0,0
Tarik Black,6,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Christian Blake,6,1,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0
Reggie Bonnafon,13,1,0,0,0,0,0,0,1,4,0,0,2,12,0,0,0,0
Ian Book,6,1,20,12,135,0,2,0,3,6,0,0,0,0,0,0,0,0
Derek Carrier,8,1,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Frank Darby,6,1,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Davion Davis,10,1,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Darrynton Evans,13,1,0,0,0,0,0,0,2,7,0,0,2,11,0,0,0,0
Blaine Gabbert,9,1,11,7,67,0,0,0,9,-7,0,0,0,0,0,0,0,0
Marvin Hall,6,1,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Kylin Hill,13,1,0,0,0,0,0,0,10,24,0,0,1,5,0,0,0,0
Greg Howell,11,1,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0
Andy Isabella,12,1,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Tyron Johnson,8,1,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
John Kelly,13,1,0,0,0,0,0,0,2,13,0,0,0,0,0,0,0,0
Marcus Kemp,12,1,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Keith Kirkwood,13,1,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Patrick Laird,14,1,0,0,0,0,0,0,1,4,0,0,3,17,0,0,0,0
Anthony McFarland,7,1,0,0,0,0,0,0,3,3,0,0,1,11,0,0,0,0
Kirk Merritt,14,1,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Jaydon Mickens,7,1,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Gabe Nabers,7,1,0,0,0,0,0,0,3,8,0,0,3,17,0,0,0,0
Jacques Patrick,8,1,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
Scottie Phillips,10,1,0,0,0,0,0,0,6,13,0,0,2,9,0,0,0,0
Adam Prentice,6,1,0,0,0,0,0,0,3,5,0,0,3,16,0,0,0,0
Andre Roberts,7,1,0,0,0,0,0,0,3,19,0,0,1,35,0,0,2,0
Richard Rodgers,14,1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Curtis Samuel,9,1,0,0,0,0,0,0,4,11,0,0,6,27,0,0,0,0
Jaylen Samuels,10,1,0,0,0,0,0,0,5,9,0,0,3,14,0,0,0,0
C.J. Saunders,13,1,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
David Sills,10,1,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Chris Streveler,8,1,9,6,36,0,0,0,3,6,0,0,0,0,0,0,0,0
Tylan Wallace,8,1,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Mitchell Wilcox,10,1,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
Tyrell Williams,9,1,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Alex Bachman,10,0,0,0,0,0,0,0,1,-3,0,0,0,0,0,0,0,0
Kenjon Barner,9,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Kurt Benkert,13,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,0
David Blough,9,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0
Miles Boykin,8,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Nick Boyle,8,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Gary Brightwell,10,0,0,0,0,0,0,0,1,4,0,0,1,6,0,0,0,0
Cethan Carter,14,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Nate Cottrell,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Keke Coutee,14,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Damarea Crockett,11,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0
Chase Daniel,7,0,0,0,0,0,0,0,2,-2,0,0,0,0,0,0,0,0
Darrell Daniels,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sam Ehlinger,14,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0
Maurice Ffrench,7,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,9,0,6,3,13,0,0,0,1,2,0,0,0,0,0,0,0,0
Jake Funk,11,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
Reggie Gilliam,7,0,0,0,0,0,0,0,3,3,0,0,3,23,0,0,0,0
Demetrius Harris,12,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0
Daniel Helm,8,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
Brycen Hopkins,11,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Tommylee Lewis,14,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Hunter Long,14,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Nate McCrary,8,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
Kellen Mond,7,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanley Morgan,10,0,0,0,0,0,0,0,1,3,0,0,2,11,0,0,0,0
John Mundt,11,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Ryan Nall,10,0,0,0,0,0,0,0,1,4,0,0,1,4,0,0,0,0
Devine Ozigbo,14,0,0,0,0,0,0,0,1,-3,0,0,1,7,0,0,0,0
Nathan Peterman,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Kevin Rader,7,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Trey Ragas,8,0,0,0,0,0,0,0,1,9,0,0,2,6,0,0,0,0
Brett Rypien,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekhi Sargent,7,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,0
Luke Stocker,7,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
Jack Stoll,14,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,0,0
Malik Taylor,13,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,1,0
Eric Tomlinson,8,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Dwayne Washington,6,0,0,0,0,0,0,0,4,16,0,0,2,12,0,0,0,0
Derek Watt,7,0,0,0,0,0,0,0,1,1,0,0,3,15,0,0,0,0
Davis Webb,7,0,0,0,0,0,0,0,2,-3,0,0,0,0,0,0,0,0
Easop Winston,6,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Ethan Wolf,6,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Logan Woodside,13,0,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,0,0
Deon Yelder,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Travis Benjamin,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Khari Blasingame,13,-1,0,0,0,0,0,0,3,6,0,0,2,4,0,0,1,0
Trenton Cannon,6,-1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,1,0
Jacob Eason,9,-1,5,2,25,0,1,0,0,0,0,0,0,0,0,0,0,0
J.J. Koski,11,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Racey McMath,13,-1,0,0,0,0,0,0,0,0,0,0,2,8,0,0,1,0
Feleipe Franks,6,-2,1,0,0,0,1,0,3,6,0,0,0,0,0,0,0,0
Diontae Spencer,11,-2,0,0,0,0,0,0,0,0,0,0,1,-3,0,0,2,0
John Wolford,11,-2,4,1,5,0,1,0,2,-1,0,0,0,0,0,0,0,0
Josh Rosen,6,-4,11,2,19,0,2,0,0,0,0,0,0,0,0,0,0,0
"KEY: Att = Attempts, Cmp = Completions, Yds = Yards Gained, TD = Touchdowns, Int = Interceptions, 2Pt = 2-Point Conversions, Rec = Receptions, FL = Fumbles Lost, Pts = Fantasy Football Points",,,,,,,,,,,,,,,,,,
